,Unnamed: 0_x,구별,소계,인구수,한국인,외국인,고령자,외국인비율,고령자비율,Unnamed: 0.1,Unnamed: 0_y,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,발생 건수,검거 건수,검거율
0,0,강남구,2780,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,17,17,강남서,3,3,15,12,300,225,2411,984,2465,2146,5194,3370,64.88255679630342
1,0,강남구,2780,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,30,30,수서서,10,7,6,6,149,124,1439,666,1819,1559,3423,2362,69.00379783815367
2,1,강동구,773,453233.0,449019.0,4214.0,54622.0,0.9297646023127176,12.051637899270354,20,20,강동서,4,3,6,8,156,123,2366,789,2712,2248,5244,3171,60.46910755148741
3,2,강북구,748,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,14,14,강북서,7,8,14,13,153,126,1434,618,2649,2348,4257,3113,73.1266149870801
4,3,강서구,884,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,19,19,강서서,7,8,13,13,262,191,2096,1260,3207,2718,5585,4190,75.02238137869293
5,4,관악구,1496,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705,18,18,관악서,9,8,12,14,320,221,2706,827,3298,2642,6345,3712,58.50275807722616
6,5,광진구,707,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,12,12,광진서,4,4,14,26,240,220,3026,1277,2625,2180,5909,3707,62.734811304789304
7,6,구로구,1561,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,22,22,구로서,8,6,15,11,281,164,2335,889,3007,2432,5646,3502,62.0262132483174
8,7,금천구,1015,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857,15,15,금천서,3,4,6,6,151,122,1567,888,2054,1776,3781,2796,73.94869082253372
9,8,노원구,1265,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504,26,26,노원서,10,10,7,7,197,121,2193,801,2723,2329,5130,3268,63.70370370370371
10,9,도봉구,485,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916,29,29,도봉서,3,3,9,10,102,106,1063,478,1487,1303,2664,1900,71.32132132132132
11,10,동대문구,1294,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040052,7,7,동대문서,5,5,13,13,173,146,1981,814,2548,2227,4720,3205,67.90254237288136
12,11,동작구,1091,412520.0,400456.0,12064.0,56013.0,2.924464268399108,13.578250751478716,11,11,동작서,5,5,9,5,285,139,1865,661,1910,1587,4074,2397,58.83652430044183
13,12,마포구,574,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516,8,8,마포서,8,8,14,10,294,247,2555,813,2983,2519,5854,3597,61.44516569866758
14,13,서대문구,962,327163.0,314982.0,12181.0,48161.0,3.723220535329484,14.720796667104777,3,3,서대문서,2,2,5,4,154,124,1812,738,2056,1711,4029,2579,64.0109208240258
15,14,서초구,1930,450310.0,445994.0,4316.0,51733.0,0.9584508449734628,11.488308054451378,23,23,서초서,7,4,8,5,334,193,1982,905,1852,1607,4183,2714,64.8816638775998
16,14,서초구,1930,450310.0,445994.0,4316.0,51733.0,0.9584508449734628,11.488308054451378,27,27,방배서,1,2,1,1,59,56,653,186,547,491,1261,736,58.366375892149094
17,15,성동구,1062,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044,10,10,성동서,4,4,9,8,126,119,1607,597,1612,1395,3358,2123,63.222156045265045
18,16,성북구,1464,461260.0,449773.0,11487.0,64692.0,2.490352512682652,14.025061787278323,6,6,성북서,2,2,2,1,86,71,953,409,1194,1015,2237,1498,66.9646848457756
19,16,성북구,1464,461260.0,449773.0,11487.0,64692.0,2.490352512682652,14.025061787278323,21,21,종암서,3,3,3,3,64,53,832,332,1015,840,1917,1231,64.2149191444966
20,17,송파구,618,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278,25,25,송파서,11,10,13,10,220,178,3239,1129,3295,2786,6778,4113,60.68161699616405
21,18,양천구,2034,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192231,24,24,양천서,3,5,6,3,120,105,1890,672,2509,2030,4528,2815,62.168727915194346
22,19,영등포구,904,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832,9,9,영등포서,14,12,22,20,295,183,2964,978,3572,2961,6867,4154,60.49220911606233
23,20,용산구,1624,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920504,5,5,용산서,5,5,14,14,194,173,1557,587,2050,1704,3820,2483,65.0
24,21,은평구,1873,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,13,13,서부서,2,2,2,1,70,59,819,293,1192,1038,2085,1393,66.81055155875299
25,21,은평구,1873,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,28,28,은평서,1,1,7,5,96,82,1095,418,1461,1268,2660,1774,66.69172932330827
26,22,종로구,1002,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,1,1,종로서,3,3,6,5,115,98,1070,413,1278,1070,2472,1589,64.2799352750809
27,22,종로구,1002,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,4,4,혜화서,3,2,5,4,96,63,1114,424,1015,861,2233,1354,60.6359158083296
28,23,중구,671,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,0,0,중부서,2,2,3,2,105,65,1395,477,1355,1170,2860,1716,60.0
29,23,중구,671,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,2,2,남대문서,1,0,6,4,65,46,1153,382,869,794,2094,1226,58.54823304680038
30,24,중랑구,660,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698,16,16,중랑서,13,12,11,9,187,148,2135,829,2847,2407,5193,3405,65.56903523974582
